user_id,gender,age,os,portfolio_type,annual_income,initial_date,initial_amount,add_amount,prior_investment,etf_knowledge,occupation,total_asset_amount,target_period,investment_priority,patience_to_loss_percentage,investment_amount,add_count,total_amount,target_count
BE17081900000603,male,45,Android,investing,60000000,2017.8.19,5000000,0,1,1,1,1,1,2,1,5000000,0,5000000,0
BE20171201703728,male,33,Android,investing,32650000,2018.4.23,3000000,200000,1,1,1,2,2,3,3,3000000,1,3200000,1
BE17080200000518,male,44,iOS,investing,75000000,2019.4.5,3000000,1470019,2,1,1,3,3,3,3,10000000,6,4470019,1
BE20171202685221,female,40,Android,multi,20000000,2018.5.31,6000000,1000000,1,1,3,1,1,3,3,1000000,1,7000000,1
BE17021500000061,male,31,Android,investing,24000000,2017.10.17,5000000,0,1,1,1,2,2,2,3,5000000,0,5000000,0
BE17020100000016,male,36,Android,investing,80000000,2017.2.17,5000000,0,4,1,1,3,1,4,5,5000000,0,5000000,0
BE17062300000409,male,33,Android,investing,20000000,2017.6.23,5000000,3999989,4,1,4,4,3,4,4,5000000,1,8999989,1
BE20171202911662,male,29,Android,multi,60000000,2017.12.2,9000000,10900000,2,2,1,2,2,5,5,1000000,7,19900000,1
BE17032700000138,male,30,Android,investing,24000000,2017.3.27,10000000,0,2,1,1,3,1,2,1,5000000,0,10000000,0
BE17111500000687,male,42,Android,investing,70000000,2017.11.16,5000000,0,2,1,1,2,2,4,2,5000000,0,5000000,0
BE17020100000009,male,43,Android,investing,74000000,2017.4.20,5000000,2500000,2,1,1,2,1,3,3,5000000,1,7500000,1
BE17060500000315,male,40,Android,investing,100000000,2017.6.5,5000000,0,3,1,1,2,1,5,5,10000000,0,5000000,0
BE17081100000573,male,30,Android,investing,40000000,2017.8.11,5000000,0,2,1,1,1,3,5,5,5000000,0,5000000,0
BE17080900000538,female,35,Android,investing,60000000,2017.8.9,5000000,0,1,1,1,2,1,3,2,5000000,0,5000000,0
BE17110300000680,female,41,Android,investing,45000000,2017.11.23,5000000,12000000,2,1,1,1,1,4,2,10000000,3,17000000,1
BE17021500000072,male,48,Android,investing,100000000,2017.2.15,20000000,15000000,2,1,1,2,2,3,2,3000000,2,35000000,1
BE17060700000320,male,57,Android,investing,60000000,2017.6.16,20000000,0,2,1,2,4,2,3,2,20000000,0,20000000,0
BE17060700000328,male,45,Android,investing,50000000,2017.6.7,5000000,5000000,2,1,1,1,2,3,3,10000000,1,10000000,1
BE17062200000399,male,50,Android,investing,100000000,2017.6.22,5000000,5000000,4,1,3,3,2,4,2,5000000,1,10000000,1
BE17080300000525,female,36,Android,investing,80000000,2017.8.3,50000000,0,2,1,1,4,1,3,1,50000000,0,50000000,0
BE20171202165457,female,41,Android,investing,10000000,2017.12.2,20000000,0,2,2,1,4,2,5,5,20000000,0,20000000,0
BE20171202541150,male,43,Android,investing,100000000,2019.5.17,5000000,0,2,1,1,3,3,1,1,5000000,0,5000000,0
BE17082900000608,male,32,Android,investing,46000000,2017.8.29,5000000,0,1,1,1,2,3,4,2,5000000,0,5000000,0
BE17021500000084,male,50,Android,investing,150000000,2017.2.24,10000000,0,4,1,1,4,1,2,2,10000000,0,10000000,0
BE17072700000493,female,26,,investing,15000000,,0,0,2,1,2,1,1,5,2,5000000,0,0,0
BE17060800000336,male,32,Android,multi,36000000,2017.6.8,17500000,8000000,2,1,1,3,1,3,2,12000000,2,25500000,1
BE17110100000677,female,66,Android,investing,70000000,2017.11.6,5000000,6800000,2,1,5,4,2,3,3,10000000,3,11800000,1
BE17110200000678,male,37,Android,investing,56000000,2017.11.2,5000000,0,2,1,1,3,2,4,2,10000000,0,5000000,0
BE17072700000480,female,38,Android,multi,500000000,2017.7.27,15000000,75880000,2,1,1,3,1,1,1,10000000,9,90880000,1
BE17062000000370,male,46,Android,investing,36000000,2017.6.20,5000000,4500000,2,1,1,3,2,5,5,10000000,2,9500000,1
BE17022200000095,male,34,Android,investing,45000000,2017.4.7,5000000,5000000,2,1,2,2,1,4,5,5000000,1,10000000,1
BE17021600000084,male,48,Android,multi,80000000,2017.2.16,20000000,70000000,2,1,2,3,1,3,4,10000000,5,90000000,1
BE17051600000222,female,32,Android,investing,40000000,2017.5.16,5000000,0,2,1,1,2,1,3,2,5000000,0,5000000,0
BE17081400000586,female,63,Android,investing,20000000,2017.8.14,10000000,0,3,1,5,5,1,4,3,10000000,0,10000000,0
BE17062100000386,male,33,Android,multi,60000000,2017.6.21,25000000,11200000,3,1,1,3,1,5,3,5000000,5,36200000,1
BE17081400000585,male,39,Android,investing,50000000,2017.8.14,5000000,0,1,1,1,2,1,3,3,5000000,0,5000000,0
BE17022500000107,male,40,Android,investing,90000000,2017.2.25,10000000,0,2,1,1,2,2,3,4,10000000,0,10000000,0
BE20171204216055,male,31,Android,investing,20000000,2017.12.4,5000000,9460000,2,1,1,2,2,3,3,5000000,11,14690000,1
BE17052300000255,male,49,Android,investing,35000000,2017.5.23,6000000,0,1,1,1,2,3,5,5,20000000,0,6000000,0
BE17031600000127,male,40,Android,investing,60000000,2017.3.16,30000000,0,2,1,3,5,3,3,3,30000000,0,30000000,0
BE20171204768193,male,36,Android,investing,20000000,2019.9.26,5000000,0,1,1,1,1,3,3,3,5000000,0,5000000,0
BE17062200000402,male,48,Android,investing,70000000,2017.6.29,5000000,0,2,1,2,2,2,3,3,5000000,0,5000000,0
BE17052900000272,male,34,Android,investing,55000000,2017.5.29,10000000,200000,3,1,1,2,2,4,1,5000000,1,10200000,1
BE17060900000343,male,46,Android,investing,130000000,2017.6.12,10630000,0,2,1,1,2,1,4,3,5630000,0,10630000,0
BE17060500000310,female,57,Android,investing,60000000,2017.6.5,10000000,0,2,1,5,5,1,1,1,10000000,0,10000000,0
BE17032700000139,male,48,Android,investing,28000000,2017.3.27,10000000,0,2,1,2,3,3,4,1,10000000,0,10000000,0
BE17020200000027,male,47,Android,investing,70000000,2017.2.6,5000000,0,4,1,1,3,2,4,3,3000000,0,5000000,0
BE17020200000025,male,43,Android,investing,70000000,2017.2.4,8000000,15000000,2,1,2,2,2,3,3,10000000,2,23000000,1
BE20171204118556,male,56,Android,investing,70000000,2017.12.8,32000000,0,2,2,1,4,1,2,2,32000000,0,32000000,0
BE17062600000418,male,36,Android,investing,25000000,2017.6.26,5000000,1000000,1,1,2,1,2,3,1,10000000,4,6200000,1
BE17032500000136,male,32,iOS,investing,70000000,2017.3.25,10000000,20000000,4,1,1,4,1,3,3,10000000,3,30000000,1
BE17032700000140,male,34,Android,investing,46000000,2017.3.27,5000000,0,1,1,1,2,1,3,2,5000000,0,5000000,0
BE17031700000132,female,40,Android,investing,130000000,2017.3.17,5000000,35000000,2,1,1,2,2,4,1,5000000,1,40000000,1
BE17050900000217,male,43,Android,investing,40000000,2017.5.9,5000000,2000000,2,1,1,2,1,3,1,5000000,1,7000000,1
BE17040500000145,male,28,Android,investing,50000000,2017.4.5,10000000,30000000,2,1,4,5,1,3,2,20000000,2,40000000,1
BE20171205049121,male,39,Android,investing,30000000,2018.8.10,8000000,3700000,2,1,1,2,2,2,2,10000000,13,11700000,1
BE17120100000700,male,50,Android,multi,100000000,2017.12.1,11220000,3360000,4,1,1,4,1,4,3,1220000,1,14580000,1
BE17060500000314,male,49,Android,investing,50000000,2017.6.5,5000000,0,2,1,1,3,3,3,3,5000000,0,5000000,0
BE17072600000460,male,33,Android,investing,79000000,2017.7.26,5000000,25000000,2,1,1,2,2,3,3,5000000,2,30000000,1
BE17112300000689,male,34,Android,investing,33000000,2017.11.23,5000000,5000000,2,1,1,1,1,3,3,5000000,1,10000000,1
BE17020100000017,male,48,Android,investing,65000000,2017.4.12,5000000,20500000,2,1,1,2,1,3,1,10000000,4,25500000,1
BE20171207810415,male,61,Android,investing,150000000,2018.3.13,5000000,9980000,2,2,1,2,2,2,2,10000000,2,14980000,1
BE17050400000214,male,55,Android,multi,70000000,2017.5.4,10000000,5000000,2,1,1,3,2,3,1,5000000,1,15000000,1
BE17051700000224,female,38,Android,investing,70000000,2017.5.17,5000000,0,1,1,1,1,1,3,1,10000000,0,5000000,0
BE17081000000539,male,37,Android,investing,70000000,2017.8.14,5000000,0,2,1,1,2,1,3,2,5000000,0,5000000,0
BE17060200000298,female,56,Android,investing,50000000,2017.8.8,5000000,0,3,1,1,5,1,4,1,5000000,0,5000000,0
BE17020100000012,male,28,Android,investing,18000000,2017.2.1,5000000,0,2,1,4,2,2,3,3,5000000,0,5000000,0
BE17060900000339,male,32,Android,investing,43000000,2017.6.9,10000000,17000000,2,1,1,2,2,3,2,10000000,1,27000000,1
BE17031700000130,male,36,Android,investing,300000000,2017.3.17,5000000,5000000,2,1,3,3,3,3,3,10000000,1,10000000,1
BE17072700000492,female,45,,investing,50000000,2017.7.27,5000000,0,2,1,2,4,2,3,4,5000000,0,5000000,0
BE17080600000532,male,36,Android,investing,100000000,2017.8.6,5000000,0,1,1,1,2,1,4,3,5000000,0,5000000,0
BE17060300000304,male,36,Android,investing,60000000,2017.6.4,5000000,5000000,3,1,1,3,2,2,4,5000000,1,10000000,1
BE17081000000543,male,43,Android,investing,75000000,2019.8.31,7000000,0,2,1,1,2,2,3,3,10000000,0,7000000,0
BE20171208072729,male,45,Android,investing,50000000,2019.1.20,3000000,7000000,2,1,1,3,1,5,5,10000000,2,10000000,1
BE20171208690525,male,55,Android,investing,200000000,2017.12.8,80000000,50000000,2,2,3,4,1,2,2,10000000,1,130000000,1
BE17081100000555,male,33,Android,multi,70000000,2017.8.11,18000000,21000000,2,1,1,4,1,3,2,3000000,7,39000000,1
BE20171209696581,male,35,iOS,investing,60000000,2018.12.3,5000000,2500000,2,1,1,1,1,3,3,3000000,1,7500000,1
BE17021600000085,male,32,Android,investing,46000000,2017.2.16,5000000,7280000,2,1,1,2,2,3,3,3000000,5,12280000,1
BE17020100000013,male,32,,investing,40000000,2017.3.15,5000000,5000000,2,1,1,2,1,2,2,5000000,1,10000000,1
BE17071900000448,male,37,Android,investing,50000000,2017.9.19,5000000,0,2,1,1,2,3,4,1,10000000,0,5000000,0
BE17071700000446,male,38,Android,investing,190000000,2017.7.17,10000000,30000000,3,1,1,3,2,3,5,10000000,2,40000000,1
BE17052500000263,male,43,Android,investing,3000000,2017.6.2,6000000,0,2,1,1,2,2,5,5,6000000,0,6000000,0
BE20171210162882,female,36,iOS,investing,120000000,2018.7.12,0,0,2,1,1,1,3,3,3,5000000,0,0,0
BE17060700000325,male,58,Android,investing,70000000,2017.6.7,10000000,570152,2,1,3,5,1,3,3,10000000,1,10570152,1
BE20171211231825,male,61,Android,investing,100000000,2017.12.19,5000000,0,4,2,1,5,2,4,4,5000000,0,5000000,0
BE17072500000459,male,68,Android,investing,50000000,2017.7.25,10000000,95000000,2,1,5,4,3,3,2,10000000,1,105000000,1
BE17101000000655,male,21,Android,investing,20000000,2018.9.1,3000000,0,2,2,4,1,2,5,5,5000000,0,6000000,0
BE17061000000348,male,62,Android,investing,100000000,2017.7.26,100000000,0,3,1,5,5,2,3,2,100000000,0,100000000,0
BE17101000000657,female,28,iOS,multi,100000000,2017.10.10,8000000,6200000,4,1,1,5,3,5,2,3000000,3,14200000,1
BE17060100000284,female,36,Android,investing,26000000,2017.7.16,5000000,0,2,1,1,3,1,3,1,10000000,0,5000000,0
BE17060700000331,female,42,Android,multi,60000000,2017.6.9,8000000,13230000,2,1,1,4,3,4,4,3000000,34,21230000,1
BE20171212389345,male,60,Android,investing,20000000,2017.12.13,5000000,0,4,2,5,4,2,2,2,5000000,0,5000000,0
BE17081100000556,female,26,iOS,multi,10000000,2018.4.17,8000000,5000000,2,1,4,2,1,4,2,3000000,1,13000000,1
BE20171213407146,female,31,Android,investing,35000000,2018.3.4,11320000,500000,2,1,1,3,3,1,1,3000000,1,11820000,1
BE17051800000226,male,67,Android,investing,20000000,2017.5.18,5000000,0,1,1,3,2,1,3,2,5000000,0,5000000,0
BE20171213283356,female,34,Android,investing,65000000,2017.12.13,5000000,1100000,2,2,1,3,1,1,1,900000000,4,6100000,1
BE17072400000455,male,58,Android,investing,140000000,2017.7.24,5000000,0,2,1,1,5,3,5,1,10000000,0,5000000,0
BE20171216259473,female,28,Android,investing,10000000,2018.8.2,5000000,0,4,1,4,1,1,4,4,5000000,0,9500000,0
BE20171217960405,female,48,Android,investing,90000000,2018.2.15,5000000,0,4,2,1,3,1,1,1,3000000,0,5000000,0
BE17020200000022,male,48,Android,investing,80000000,2017.2.2,10000000,10000000,4,1,2,3,2,1,1,10000000,1,20000000,1
BE20171218968767,male,32,Android,investing,32000000,2018.1.30,5000000,0,2,2,1,2,2,1,1,5000000,0,5000000,0
BE17081500000591,male,37,Android,investing,90000000,2017.8.23,10000000,0,2,1,3,3,2,3,3,10000000,0,10000000,0
BE17081800000600,male,45,Android,investing,120000000,2017.8.18,5000000,0,2,1,1,5,2,4,4,5000000,0,5000000,0
BE20171220929532,male,34,Android,investing,40000000,2018.1.14,5000000,700000,4,2,1,3,2,3,3,5000000,2,5700000,1
BE20171221935066,male,39,Android,investing,42000000,2017.12.27,5000000,1400000,1,1,1,1,1,1,1,10000000,4,6400000,1
BE20171221282370,male,43,Android,investing,200000000,2018.1.31,30000000,15000000,1,1,1,2,1,1,1,10000000,2,45000000,1
BE17081200000575,female,36,Android,investing,60000000,2017.8.12,5000000,0,3,1,1,2,2,4,3,5000000,0,5000000,0
BE17072700000497,male,36,Android,investing,55000000,2017.8.2,5000000,0,3,1,1,5,3,5,5,5000000,0,5000000,0
BE17072700000470,male,44,Android,investing,120000000,2017.7.27,10000000,0,2,1,1,2,1,4,2,50000000,0,10000000,0
BE17020200000021,female,32,Android,investing,70000000,2017.2.6,5000000,0,2,1,1,4,1,3,1,5000000,0,5000000,0
BE20171223066264,male,38,Android,multi,68000000,2018.4.2,8000000,77320000,2,2,1,3,3,3,3,3000000,10,85620000,1
BE17080400000527,female,39,Android,investing,100000000,2019.8.24,5000000,0,1,1,1,2,2,3,1,5000000,0,5000000,0
